Data;Imp-Total $;Imp_Bens_capital _$;Imp-Bens intermediarios $;Imp-Bens de consumo($);Imp-Bens de consumo duraveis($);Imp-Bens de consumo semiduraveis e nao duraveis(US$);Imp-Combustiveis e lubrificantes(US$);Imp - Bens nao especificados anteriormente(US$);Exp-Total(US$);Exp- Prod. basicos(US$);Exp-Prod. Semimanufaturados(US$);Exp-Prod. Manufaturados(US$);PIB-mensal(MU$);credito(MR$);Infl- IGPM;Infl-IPCA;Div Publica(MR$);Div publica(M$);Div Pub(%PIB)
jan/05;5249728106;593890394;3473547335;439401029;92653657;346747372;754246053;1589891;7485629350;1770694951;1166489055;4353000539;67201;505701;0.39;0.58;958542.86;365298.35;67.77
fev/05;4972504954;550125046;3090947469;440835530;93948182;346887348;897350045;128738;7784903487;1860239778;1225184227;4551099373;67794;511638;0.3;0.59;961434.65;370609.3;67.79
mar/05;5899499577;717867753;3745067869;569253303;135509441;433743862;876654204;897415;9294172710;2280389067;1411417796;5404675563;75512;520285;0.85;0.61;970529.23;364121.42;68.92
abr/05;5322289594;627874883;3542076554;476422289;116070326;360351963;684932694;559181;9251741241;2833865712;1238867597;4980453237;74766;530000;0.86;0.87;956982.76;378179.32;67.59
mai/05;6362747208;758342094;3824504168;520767864;118734254;402033610;1268416931;300169;9852770464;3006334510;1323392589;5317648078;73737;533930;-0.22;0.49;952854.87;396527.2;67.44
jun/05;6158080439;746731779;4112235168;617955276;132772017;485183259;698265639;814565;10225065341;3069683886;1450683576;5511544015;74201;541320;-0.44;-0.02;960506.01;408795.54;67.67
jul/05;6048467166;670985726;3969894329;537578526;125590415;411988111;878363217;88018;11087455272;3846177116;1412664777;5617195324;75713;548819;-0.34;0.25;970176.25;405982.45;67.55
ago/05;7685088674;823925635;4618437129;634101885;149343516;484758369;1619138416;185867;11346546520;3839732323;1234738235;5980600371;77525;557835;-0.65;0.17;976027.54;413063.41;67.33
set/05;6303019900;812066784;3892494293;617693776;160760116;456933660;992570106;97017;10662759603;3258764396;1245798165;5900085073;75726;564357;-0.53;0.35;971650.69;437404.65;67.28
out/05;6218255099;717863691;3822787045;635258867;163609599;471649268;1051285382;824765;9933356197;2857233384;1272450187;5563719198;76803;575972;0.6;0.75;978031.3;434005.46;66.88
nov/05;6697633206;756340564;4160329288;728671804;227711883;500959921;1066575778;331152;10850018013;3162990086;1478258606;5916774823;76692;590126;0.4;0.55;983151.52;445631.18;67.52
